  PID TTY           TIME CMD
    1 ??         3:38.06 /sbin/launchd
   47 ??         1:03.00 /usr/sbin/syslogd
   48 ??         0:06.86 /usr/libexec/UserEventAgent (System)
   50 ??        88:22.65 /Applications/CrashPlan.app/Contents/Resources/Code42/CrashPlanService -Dapp=CrashPlanService -Xmn10m -Xms15m -Xmx1024m -DappBaseName=CrashPlan -Djava.awt.headless=true -Dfile.encoding=UTF-8 -Dsun.net.inetaddr.ttl=300 -Dnetworkaddress.cache.ttl=300 -Dsun.net.inetaddr.negative.ttl=0 -Dnetworkaddress.cache.negative.ttl=0 -DCP_USER_NAME=xfreixa -DCP_USER_HOME=/Users/xfreixa -Djava.class.path=lib/com.backup42.desktop.jar:lang com/backup42/service/CPService CP_USER_NAME=xfreixa CP_USER_HOME=/Users/xfreixa
   52 ??         0:00.87 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
   53 ??         0:13.56 /usr/libexec/kextd
   54 ??         0:42.73 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   56 ??         0:00.42 /usr/local/McAfee/AntiMalware/VShieldUpdate
   57 ??         5:43.53 /opt/cisco/anyconnect/bin/vpnagentd -execv_instance
   59 ??         0:00.29 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
   60 ??         0:00.50 /opt/cisco/hostscan/bin/ciscod -d
   62 ??         0:00.97 /System/Library/CoreServices/appleeventsd --server
   63 ??         0:05.45 /usr/sbin/systemstats --daemon
   65 ??         0:25.91 /usr/libexec/configd
   66 ??         0:14.29 /System/Library/CoreServices/powerd.bundle/powerd
   67 ??         0:00.40 /Library/McAfee/agent/bin/macmnsvc self_start
   74 ??         0:57.75 /usr/libexec/logd
   75 ??         0:00.04 /usr/libexec/keybagd -t 15
   77 ??         0:19.09 /Library/McAfee/agent/bin/macompatsvc self_start
   81 ??         0:01.17 /usr/libexec/warmd
   82 ??         3:55.19 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   83 ??         0:00.42 /System/Library/CoreServices/iconservicesd
   84 ??         0:00.28 /System/Library/CoreServices/iconservicesagent
   85 ??         0:02.10 /usr/libexec/diskarbitrationd
   90 ??         2:17.85 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
   91 ??         0:07.56 /usr/libexec/coreduetd
   92 ??         0:15.15 /usr/local/McAfee/AntiMalware/VShieldScanner
   95 ??         3:03.76 /usr/libexec/opendirectoryd
   98 ??         0:05.12 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  100 ??         0:00.20 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
  101 ??         0:13.79 /System/Library/CoreServices/launchservicesd
  102 ??         0:00.87 /usr/libexec/timed
  103 ??         0:04.90 /usr/sbin/securityd -i
  104 ??         0:00.34 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  106 ??         0:15.47 /usr/libexec/locationd
  107 ??         0:45.34 /usr/local/McAfee/fmp/bin/fmpd
  108 ??         0:00.03 autofsd
  109 ??         0:00.28 /usr/libexec/displaypolicyd -k 1
  110 ??         0:04.85 /usr/libexec/dasd
  112 ??         1:00.50 /usr/local/McAfee/AntiMalware/VShieldScanManager
  114 ??         0:09.24 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  115 ??         0:00.21 /System/Library/CoreServices/logind
  116 ??         0:00.25 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  117 ??         0:00.02 /usr/sbin/KernelEventAgent
  119 ??         0:03.97 /usr/sbin/bluetoothd
  120 ??         4:06.75 /usr/libexec/hidd
  121 ??         0:00.39 /usr/libexec/corebrightnessd --launchd
  122 ??         0:00.66 /usr/libexec/AirPlayXPCHelper
  123 ??         0:03.38 /usr/libexec/amfid
  124 ??         0:55.77 /usr/sbin/notifyd
  125 ??         0:00.47 /usr/libexec/taskgated -s
  126 ??         0:10.93 /usr/sbin/distnoted daemon
  130 ??         0:17.89 /usr/sbin/cfprefsd daemon
  148 ??         0:03.01 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  149 ??         0:39.22 /System/Library/CoreServices/coreservicesd
  160 ??         0:00.72 aslmanager
  162 ??         0:00.02 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  164 ??         0:00.38 /usr/libexec/nehelper
  165 ??         0:10.81 /usr/libexec/sandboxd
  167 ??         0:22.32 /usr/libexec/trustd
  169 ??         0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  171 ??         0:27.77 /usr/libexec/airportd
  174 ??         7:58.89 /usr/sbin/coreaudiod
  175 ??         0:06.67 /usr/libexec/mobileassetd
  189 ??         0:00.34 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  193 ??         0:05.91 /usr/libexec/nsurlsessiond --privileged
  208 ??         0:00.86 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  209 ??         0:05.04 /usr/libexec/lsd runAsRoot
  210 ??         0:01.57 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  211 ??         0:15.45 /usr/sbin/mDNSResponder
  212 ??         0:01.20 /usr/sbin/mDNSResponderHelper
  213 ??         0:00.14 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
